x,abs_accuracy
1,0.001693
2,0.000177
3,0.000503
4,0.000846
5,0.000073
6,0.000567
7,0.000520
8,0.000088
9,0.000380
10,0.000542
11,0.000475
12,0.000252
13,0.000038
14,0.000047
15,0.000448
16,0.000423
17,0.000147
18,0.000024
19,0.000001
20,0.000036
21,0.000100
22,0.000171
23,0.000235
24,0.000283
25,0.000310
26,0.000314
27,0.000296
28,0.000260
29,0.000210
30,0.000153
31,0.000095
32,0.000044
33,0.000079
34,0.000117
35,0.000155
36,0.000190
37,0.000220
38,0.000244
39,0.000261
40,0.000271
41,0.000273
42,0.000268
43,0.000256
44,0.000238
45,0.000214
46,0.000187
47,0.000157
48,0.000126
49,0.000095
50,0.000065
51,0.000040
52,0.000019
53,0.000005
54,0.000000
55,0.000006
56,0.000024
57,0.000056
58,0.000104
59,0.000171
60,0.000224
61,0.000217
62,0.000213
63,0.000211
64,0.000212
65,0.000168
66,0.000131
67,0.000099
68,0.000073
69,0.000052
70,0.000035
71,0.000022
72,0.000012
73,0.000006
74,0.000002
75,0.000000
76,0.000001
77,0.000003
78,0.000007
79,0.000012
80,0.000018
81,0.000025
82,0.000033
83,0.000041
84,0.000050
85,0.000059
86,0.000068
87,0.000077
88,0.000086
89,0.000094
90,0.000102
91,0.000110
92,0.000118
93,0.000125
94,0.000131
95,0.000137
96,0.000142
97,0.000146
98,0.000150
99,0.000153
100,0.000155
101,0.000157
102,0.000158
103,0.000158
104,0.000157
105,0.000156
106,0.000154
107,0.000151
108,0.000148
109,0.000144
110,0.000140
111,0.000135
112,0.000130
113,0.000124
114,0.000118
115,0.000112
116,0.000105
117,0.000098
118,0.000091
119,0.000084
120,0.000076
121,0.000069
122,0.000062
123,0.000054
124,0.000047
125,0.000040
126,0.000034
127,0.000028
128,0.000022
129,0.000026
130,0.000031
131,0.000035
132,0.000040
133,0.000044
134,0.000049
135,0.000054
136,0.000059
137,0.000063
138,0.000068
139,0.000073
140,0.000078
141,0.000082
142,0.000087
143,0.000091
144,0.000095
145,0.000099
146,0.000103
147,0.000107
148,0.000110
149,0.000113
150,0.000117
151,0.000119
152,0.000122
153,0.000125
154,0.000127
155,0.000129
156,0.000131
157,0.000132
158,0.000134
159,0.000135
160,0.000135
161,0.000136
162,0.000136
163,0.000137
164,0.000137
165,0.000136
166,0.000136
167,0.000135
168,0.000134
169,0.000133
170,0.000131
171,0.000130
172,0.000128
173,0.000126
174,0.000124
175,0.000121
176,0.000119
177,0.000116
178,0.000113
179,0.000110
180,0.000107
181,0.000104
182,0.000101
183,0.000097
184,0.000094
185,0.000090
186,0.000086
187,0.000082
188,0.000079
189,0.000075
190,0.000071
191,0.000067
192,0.000063
193,0.000059
194,0.000055
195,0.000051
196,0.000047
197,0.000044
